Philippines,Kaputol ng isang awit (1991)
India,Gang Leader (1991)
USA,Caged Fear (1991)
France,Sale comme un ange (1991)
USA,Femme Fatale (1991)
India,Sandesham (1991)
USA,Ring of Fire (1991)
USA,Dream Machine (1991)
Mexico,Cabeza de Vaca (1991)
USA,By the Sword (1991)
Sweden,Den ofrivillige golfaren (1991)
USA,The Linguini Incident (1991)
USA,Breathing Fire (1991)
USA,Bloodsucking Pharaohs in Pittsburgh (1991)
India,Bhabhi (1991)
India,Khoon Ka Karz (1991)
Hong Kong,Xin jing wu men 1991 (1991)
India,Idhayam (1991)
USA,Driving Me Crazy (1991)
USA,Where Sleeping Dogs Lie (1991)
Belgium,L'année de l'éveil (1991)
Ireland,Hear My Song (1991)
Hong Kong,Sien lui yau wan III: Do do do (1991)
USA,The Unborn (1991)
USA,Highway Patrolman (1991)
Germany,Cerro Torre: Schrei aus Stein (1991)
France,Jacquot de Nantes (1991)
Hong Kong,To hok wai lung (1991)
India,Hum (1991)
Hong Kong,Center Stage (1991)
Japan,Yumeji (1991)
USA,Lunatics: A Love Story (1991)
Japan,Dragon Ball Z: Cooler's Revenge (1991)
Italy,Black Demons (1991)
USA,Edge of Honor (1991)
UK,London Kills Me (1991)
India,100 Days (1991)
Italy,Malizia 2mila (1991)
USA,Raw Nerve (1991)
USA,Karate Cop (1991)
Japan,Rezubian reipu: Amai mitsujû (1991)
Hong Kong,Qing ben jia ren (1991)
USA,The Dark Wind (1991)
India,Aakhri Cheekh (1991)
Japan,Sangatsu no raion (1991)
Germany,"Manta, Manta (1991)"
USA,Mom (1991)
India,Lamhe (1991)
Hong Kong,Dou hap (1991)
Japan,964 Pinocchio (1991)
USA,Bikini Summer (1991)
UK,Curse III: Blood Sacrifice (1991)
Italy,La Bambola (1991)
USA,Killer Tomatoes Strike Back! (1991)
Italy,Malù e l'amante (1991)
USA,Delusion (1991)
France,Le voleur d'enfants (1991)
USA,Cold Heaven (1991)
USA,Married to It (1991)
USA,Samantha (1991)
USA,Straight Out of Brooklyn (1991)
USA,Jumpin' at the Boneyard (1991)
